model,family,dataset_id,seed,lambda,status,error_message,n_train,n_flipped,noisy_train_accuracy,clean_train_accuracy,clean_test_accuracy,clean_test_auc,train_test_gap,noisy_label_fit_rate,clean_label_recovery_rate,confidence_on_flipped_samples
tabicl,icl,synthetic_mixed,1,0.0,ok,,420,0,1.0,1.0,0.9777777777777777,0.9998611111111111,0.022222222222222254,,,
tabicl,icl,synthetic_mixed,1,0.05,ok,,420,21,0.9571428571428572,0.9880952380952381,0.9611111111111111,0.9973148148148149,-0.003968253968253954,0.19047619047619047,0.8095238095238095,0.1975283653785785
tabicl,icl,synthetic_mixed,1,0.1,ok,,420,42,0.9047619047619048,0.9857142857142858,0.9777777777777777,0.9990740740740741,-0.07301587301587298,0.09523809523809523,0.9047619047619048,0.15750989149368944
tabicl,icl,synthetic_mixed,1,0.2,ok,,420,84,0.7976190476190477,0.9666666666666667,0.9833333333333333,0.9992592592592592,-0.1857142857142856,0.05952380952380952,0.9047619047619048,0.1975835883723838
tabicl,icl,synthetic_mixed,1,0.3,ok,,420,126,0.6738095238095239,0.9166666666666666,0.9388888888888889,0.9891203703703705,-0.265079365079365,0.06349206349206349,0.873015873015873,0.22007423550600097
tabicl,icl,synthetic_mixed,1,0.4,ok,,420,168,0.5738095238095238,0.8738095238095238,0.8777777777777778,0.9726388888888889,-0.303968253968254,0.09523809523809523,0.8452380952380952,0.27213135623328744
tabpfn,icl,synthetic_mixed,1,0.0,ok,,420,0,1.0,1.0,0.9888888888888889,0.9997685185185184,0.011111111111111072,,,
tabpfn,icl,synthetic_mixed,1,0.05,ok,,420,21,0.9547619047619048,0.9857142857142858,0.9666666666666667,0.9979629629629629,-0.011904761904761862,0.19047619047619047,0.8095238095238095,0.2554767188571748
tabpfn,icl,synthetic_mixed,1,0.1,ok,,420,42,0.9119047619047619,0.9833333333333333,0.9888888888888889,0.9999537037037037,-0.07698412698412704,0.14285714285714285,0.8571428571428571,0.24094096376072793
tabpfn,icl,synthetic_mixed,1,0.2,ok,,420,84,0.8119047619047619,0.9666666666666667,0.9888888888888889,0.9991203703703704,-0.17698412698412702,0.10714285714285714,0.8809523809523809,0.25926271120884586
tabpfn,icl,synthetic_mixed,1,0.3,ok,,420,126,0.7023809523809523,0.9142857142857143,0.9222222222222223,0.9901851851851852,-0.21984126984126995,0.10317460317460317,0.8095238095238095,0.25905593254026915
tabpfn,icl,synthetic_mixed,1,0.4,ok,,420,168,0.7,0.8523809523809524,0.9277777777777778,0.990925925925926,-0.22777777777777786,0.2857142857142857,0.6666666666666666,0.36638175988835947
logreg,linear,breast_cancer,2,0.0,ok,,398,0,0.992462311557789,0.992462311557789,0.9707602339181286,0.9981016355140186,0.021702077639660367,,,
logreg,linear,breast_cancer,2,0.05,ok,,398,20,0.9221105527638191,0.9723618090452262,0.9415204678362573,0.993428738317757,-0.019409915072438166,0.0,1.0,0.07971889650922293
logreg,linear,breast_cancer,2,0.1,ok,,398,40,0.864321608040201,0.9547738693467337,0.9122807017543859,0.9826226635514019,-0.04795909371418494,0.05,0.95,0.2089431167439498
logreg,linear,breast_cancer,2,0.2,ok,,398,80,0.7864321608040201,0.9472361809045227,0.9005847953216374,0.9735689252336448,-0.11415263451761726,0.1,0.9,0.30741328177938565
logreg,linear,breast_cancer,2,0.3,ok,,398,119,0.7185929648241206,0.8668341708542714,0.8070175438596491,0.8658002336448598,-0.08842457903552847,0.25210084033613445,0.7478991596638656,0.40026789242591787
logreg,linear,breast_cancer,2,0.4,ok,,398,159,0.6658291457286433,0.7989949748743719,0.7309941520467836,0.7867990654205608,-0.06516500631814037,0.3333333333333333,0.6666666666666666,0.4546703033379241
hist_gbdt,gbdt,breast_cancer,2,0.0,ok,,398,0,1.0,1.0,0.9473684210526315,0.9913843457943925,0.052631578947368474,,,
hist_gbdt,gbdt,breast_cancer,2,0.05,ok,,398,20,1.0,0.949748743718593,0.9473684210526315,0.9808703271028038,0.052631578947368474,1.0,0.0,0.9665347192038187
hist_gbdt,gbdt,breast_cancer,2,0.1,ok,,398,40,1.0,0.8994974874371859,0.9415204678362573,0.9789719626168224,0.05847953216374269,1.0,0.0,0.9519952960102657
hist_gbdt,gbdt,breast_cancer,2,0.2,ok,,398,80,1.0,0.7989949748743719,0.8713450292397661,0.9573598130841122,0.1286549707602339,1.0,0.0,0.9353949284818818
hist_gbdt,gbdt,breast_cancer,2,0.3,ok,,398,119,1.0,0.7010050251256281,0.8128654970760234,0.8589369158878504,0.1871345029239766,1.0,0.0,0.9167811679974278
